Station_name,Available_bikes,Empty_slots,Longitude,Latitude,Count_4SQUARE_POI
Parc de Beauséjour (Gouin / Henri-d'Arles),13,6,-73.730423,45.526765,4
12e avenue / St-Zotique,5,17,-73.589306473732,45.5568667309625,20
19e avenue / St-Zotique,6,15,-73.58564794063568,45.56168275734862,22
de Lisieux / Jean-Talon,16,1,-73.58168095350266,45.57934937043077,24
de Gaspé / Dante,16,4,-73.61217230558395,45.53429782539273,50
Davaar / de la Côte-Ste-Catherine,1,14,-73.610871,45.514379,10
Alton-Goldbloom / Notre-Dame,14,5,-73.73787671327591,45.54502601340392,17
Bloomfield / Van Horne,19,4,-73.61328139901161,45.522745298216094,44
Place des Festivals ( du Président-Kennedy / de Bleury),1,26,-73.56932401657104,45.50764392965887,50
de la Roche / Bélanger,17,4,-73.60760450363159,45.541669595766315,50
Campus MIL (Outremont / Thérèse-Lavoie Roux),13,8,-73.61815363168716,45.52311432992147,32
Le Corbusier / St-Martin O,6,13,-73.7319054454565,45.565006717407506,13
Place du Canada (Peel / des Canadiens-de-Montréal),0,26,-73.56856763362885,45.49788352593901,50
Dollard / Bernard,9,14,-73.61142262816429,45.51678269880724,24
de la Roche /  de Bellechasse,13,2,-73.59750330448149,45.53718135927993,50
11e avenue / du Souvenir,10,4,-73.70472729206085,45.56933906192115,8
Ernest-Gendreau / du Mont-Royal,6,15,-73.56384828686714,45.549713734001415,19
Paré / Mountain Sights,10,3,-73.65294188261032,45.49810026070624,17
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),2,15,-73.57112377882004,45.49487159597493,50
Robin / 15e rue,2,13,-73.6989176273346,45.559495502858624,5
Beaudry / Sherbrooke,15,12,-73.56539458036421,45.52303493310712,50
8e avenue / Dandurand,13,6,-73.5772217810154,45.550113551561694,31
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),4,21,-73.6182689666748,45.50363996257211,20
Parc Henri-Dunant (Léger / Henri-Dunant),11,7,-73.6752020941276,45.56843961893042,9
Gauthier / de Lorimier,17,0,-73.56536373496056,45.53166363055749,40
Édouard-Montpetit / de Stirling,12,6,-73.615085,45.50723,3
du Mans / des Alouettes,9,14,-73.68471868336201,45.58033485941123,2
St-Dominique / Napoléon,0,22,-73.57722043991089,45.51666442219882,50
Place d'Youville / McGill,0,19,-73.55615437030792,45.49996470926352,50
St-Jean-Baptiste / René-Lévesque,0,13,-73.4999567270279,45.64141535746634,6
Sabrevois / des Récollets,8,5,-73.63276362419128,45.583287878804136,12
Dorion / Rachel,16,1,-73.56824576854706,45.53163403743962,49
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési),16,3,-73.65595400333405,45.57833184623925,12
du Tricentenaire / Prince-Albert,5,10,-73.49191546440125,45.64954588445726,0
Fortune / Wellington,27,0,-73.559038,45.477923,15
Place du Village (St-Jean-Baptiste / Notre-Dame),6,8,-73.49011301994324,45.640002860465096,3
Gary-Carter / St-Laurent,4,32,-73.62258464097977,45.53613488953656,50
Métro Parc  (Hutchison / Ogilvy),29,4,-73.6243924498558,45.53035130173597,48
Logan / de Champlain,12,7,-73.55584256350994,45.5231943285584,50
Bourgeoys / Favard,24,0,-73.55592101812363,45.47993042065731,14
Richmond / des Bassins,9,21,-73.56500297784805,45.48752158511353,43
Parc Chenier (de l'Aréna / Chenier),12,5,-73.5432904958725,45.60248649638568,3
René-Lévesque / Panet,9,6,-73.55219006538391,45.51862424058306,50
6e avenue / Villeray,8,6,-73.60589044634253,45.55873962047568,24
du Mont-Royal / Augustin-Frigon,14,4,-73.56780052185059,45.54355786336148,38
Michelet / Jean-Talon,9,14,-73.58353972434998,45.57627820285533,17
des Bassins / du Séminaire,11,23,-73.56022328138351,45.49047561880464,43
Parc du Pélican (2e avenue / St-Joseph),12,5,-73.5717111825943,45.54458083116821,38
