Station_name,Available_bikes,Longitude,Latitude
1ère avenue / Rosemont,12,-73.58486741781235,45.54779995287998
1ère  avenue / St-Zotique,9,-73.59392791986465,45.551937362101
Boyer / Rosemont,7,-73.59553456306458,45.53409866804061
Cartier / Bélanger,10,-73.60281676054001,45.546779039476185
de l'Hôtel-de-Ville / Roy,2,-73.57449866831303,45.51733075399989
de Brébeuf / du Mont-Royal,1,-73.57792854309082,45.52927839879717
Drolet / Beaubien,16,-73.605834,45.533348
5e avenue / Rosemont,11,-73.58308374881744,45.54990048023633
Chabot / Beaubien,4,-73.59564453363419,45.544375546398065
Henri-Julien / de Bellechasse,3,-73.60308364033699,45.5315079142152
27e avenue / Rosemont,11,-73.57139468193054,45.563709940264175
Drolet / St-Zotique,0,-73.60941231250763,45.53488214147823
Fullum / Holt,9,-73.58424894533528,45.54391953154915
3e avenue / Holt,8,-73.58138993382454,45.54800352985515
de St-Vallier / St-Zotique,4,-73.60783427975548,45.536434338630336
Cartier / Dandurand,5,-73.58594566583633,45.53923559055867
Graham / Wicksteed,11,-73.64048302173615,45.51693654712809
Mozart / Waverly,4,-73.61701235175133,45.5315236502754
Chabot / de Bellechasse,3,-73.59214425086974,45.5425697477813
de Lanaudière / Bélanger,6,-73.60565051436424,45.54365085053057
Waverly / St-Zotique,3,-73.61470833420753,45.53050525974957
15e avenue / Masson,15,-73.5713866353035,45.55389801568004
Fabre / St-Zotique,1,-73.60126135876271,45.543653916207866
16e avenue / St-Joseph,12,-73.56577143073082,45.55293611277267
Boyer / Bélanger,12,-73.60897,45.54006
St-Urbain / Beaubien,4,-73.61071854829788,45.52954744851231
Marie-Anne / Papineau,18,-73.5724139213562,45.53176697148175
Jeanne-Mance / Beaubien,6,-73.61229971051216,45.527650097960205
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),12,-73.56881439685822,45.508204615051355
Marquette / Rachel,0,-73.5703244805336,45.52983801723605
Wolfe / Robin,13,-73.5601159930229,45.51958082831579
Bourbonnière / du Mont-Royal,11,-73.56052905321121,45.55358456339093
Graham / Kindersley,17,-73.64694982767105,45.514080696641386
McCulloch / de la Côte Ste-Catherine,0,-73.60060930252075,45.51577505385328
26e avenue / Beaubien,9,-73.5774926841259,45.56485589064712
de Chambly / Rachel,7,-73.55826258659361,45.54991069359101
35e avenue / Beaubien,18,-73.573047,45.570081
de Bordeaux / Sherbrooke,10,-73.56302618980408,45.529914321737415
d'Orléans / Hochelaga,13,-73.54901432991028,45.55061693669672
Jeanne-d'Arc / Ontario,8,-73.54187428951263,45.54959767887176
41e avenue / Rosemont,7,-73.56431499123573,45.57178977666956
Parc de Beauséjour (Gouin / Henri-d'Arles),13,-73.730423,45.526765
12e avenue / St-Zotique,5,-73.589306473732,45.5568667309625
19e avenue / St-Zotique,17,-73.58564794063568,45.56168275734862
de Lisieux / Jean-Talon,14,-73.58168095350266,45.57934937043077
de Gaspé / Dante,1,-73.61217230558395,45.53429782539273
Davaar / de la Côte-Ste-Catherine,3,-73.610871,45.514379
Alton-Goldbloom / Notre-Dame,11,-73.73787671327591,45.54502601340392
Bloomfield / Van Horne,18,-73.61328139901161,45.522745298216094
Place des Festivals ( du Président-Kennedy / de Bleury),10,-73.56932401657104,45.50764392965887
de la Roche / Bélanger,2,-73.60760450363159,45.541669595766315
Campus MIL (Outremont / Thérèse-Lavoie Roux),7,-73.61815363168716,45.52311432992147
Le Corbusier / St-Martin O,3,-73.7319054454565,45.565006717407506
Place du Canada (Peel / des Canadiens-de-Montréal),5,-73.56856763362885,45.49788352593901
Dollard / Bernard,9,-73.61142262816429,45.51678269880724
de la Roche /  de Bellechasse,0,-73.59750330448149,45.53718135927993
11e avenue / du Souvenir,10,-73.70472729206085,45.56933906192115
Ernest-Gendreau / du Mont-Royal,11,-73.56384828686714,45.549713734001415
Paré / Mountain Sights,8,-73.65294188261032,45.49810026070624
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),1,-73.57112377882004,45.49487159597493
Robin / 15e rue,8,-73.6989176273346,45.559495502858624
Beaudry / Sherbrooke,19,-73.56539458036421,45.52303493310712
8e avenue / Dandurand,9,-73.5772217810154,45.550113551561694
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),16,-73.6182689666748,45.50363996257211
Parc Henri-Dunant (Léger / Henri-Dunant),12,-73.6752020941276,45.56843961893042
Gauthier / de Lorimier,9,-73.56536373496056,45.53166363055749
Édouard-Montpetit / de Stirling,15,-73.615085,45.50723
du Mans / des Alouettes,9,-73.68471868336201,45.58033485941123
St-Dominique / Napoléon,1,-73.57722043991089,45.51666442219882
Place d'Youville / McGill,2,-73.55615437030792,45.49996470926352
St-Jean-Baptiste / René-Lévesque,10,-73.4999567270279,45.64141535746634
Sabrevois / des Récollets,3,-73.63276362419128,45.583287878804136
Dorion / Rachel,9,-73.56824576854706,45.53163403743962
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési),7,-73.65595400333405,45.57833184623925
du Tricentenaire / Prince-Albert,4,-73.49191546440125,45.64954588445726
Fortune / Wellington,10,-73.559038,45.477923
Place du Village (St-Jean-Baptiste / Notre-Dame),4,-73.49011301994324,45.640002860465096
Gary-Carter / St-Laurent,8,-73.62258464097977,45.53613488953656
Métro Parc  (Hutchison / Ogilvy),29,-73.6243924498558,45.53035130173597
Logan / de Champlain,12,-73.55584256350994,45.5231943285584
Bourgeoys / Favard,5,-73.55592101812363,45.47993042065731
